Sample	Breed	Sex	Weight	Height	Life span	Long legs	Drop ears	Large ears	Tail curl	Bulky	Muscled	White chest	White head	Hairless	Lengh of fur	Furnish	Boldness
Miniature Schnauzer 1	Miniature Schnauzer	F	6.35	33	13.5	1		1	3	1	1	2	1	1		2	1
Miniature Schnauzer 2	Miniature Schnauzer	F	6.35	33	13.5	1		1	3	1	1	2	1	1		2	1
Miniature Schnauzer 3	Miniature Schnauzer	F	6.35	33	13.5	1		1	3	1	1	2	1	1		2	1
New Guinea Singing Dog 1	New Guinea Singing Dog	M	11.5	38.5			1	1	1	1				1	1	1	
New Guinea Singing Dog 2	New Guinea Singing Dog	M	11.5	38.5			1	1	1	1				1	1	1	
New Guinea Singing Dog 3	New Guinea Singing Dog	M	11.5	38.5			1	1	1	1				1	1	1	
New Guinea Singing Dog 4	New Guinea Singing Dog	M	11.5	38.5			1	1	1	1				1	1	1	
Norwegian Elkhound 1	Norwegian Elkhound	M	21.77	50.8	13.5	1	1	1		1	1	1	1	1	1	1	
Norwegian Elkhound 2	Norwegian Elkhound	F	21.77	50.8	13.5	1	1	1		1	1	1	1	1	1	1	
Norwegian Lundehund 1	Norwegian Lundehund	M	7.48	34.29	13	1	1	1		1	1	2		1	1	1	
Norwegian Lundehund 2	Norwegian Lundehund	F	7.48	34.29	13	1	1	1		1	1	2		1	1	1	
Norwegian Lundehund 3	Norwegian Lundehund	F	7.48	34.29	13	1	1	1		1	1	2		1	1	1	
Norwich Terrier 1	Norwich Terrier	M	5.44	25.4	13		1	1	1	1	1	1	1	1	1	2	
Norwich Terrier 2	Norwich Terrier	F	5.44	25.4	13		1	1	1	1	1	1	1	1	1	2	
Norwich Terrier 3	Norwich Terrier	F	5.44	25.4	13		1	1	1	1	1	1	1	1	1	2	
Norwich Terrier 4	Norwich Terrier	F	5.44	25.4	13		1	1	1	1	1	1	1	1	1	2	
Nova Scotia Duck Tolling Retriever	Nova Scotia Duck Tolling Retriever	M	20	48	13	1	2		2	1	1	2		1		1	2
Pekingese	Pekingese	F	4.31	19.05	13.5					1	1		1	1	2	1	
Pembroke Welsh Corgi 1	Pembroke Welsh Corgi	M	11.79	27.94	13		1	2		1	1	2		1	1	1	
Pembroke Welsh Corgi 2	Pembroke Welsh Corgi	F	11.79	27.94	13		1	2		1	1	2		1	1	1	
