Sample	Breed	Sex	Weight	Height	Life span	Long legs	Drop ears	Large ears	Tail curl	Bulky	Muscled	White chest	White head	Hairless	Lengh of fur	Furnish	Boldness
Border Collie 10	Border Collie	F	17.92	50.8		1	1	1	2	1	1	2	2	1	2	1	1
Border Collie 11	Border Collie	M	17.92	50.8		1	1	1	2	1	1	2	2	1	2	1	1
Border Collie 12	Border Collie	F	17.92	50.8		1	1	1	2	1	1	2	2	1	2	1	1
Border Collie 13	Border Collie	M	17.92	50.8		1	1	1	2	1	1	2	2	1	2	1	1
Border Collie 14	Border Collie	M	17.92	50.8		1	1	1	2	1	1	2	2	1	2	1	1
Border Collie 15	Border Collie	M	17.92	50.8		1	1	1	2	1	1	2	2	1	2	1	1
Border Collie 2	Border Collie	F	17.92	50.8		1	1	1	2	1	1	2	2	1	2	1	1
Border Collie 3	Border Collie	M	17.92	50.8		1	1	1	2	1	1	2	2	1	2	1	1
Border Collie 4	Border Collie	M	17.92	50.8		1	1	1	2	1	1	2	2	1	2	1	1
Border Collie 5	Border Collie	F	17.92	50.8		1	1	1	2	1	1	2	2	1	2	1	1
Border Collie 6	Border Collie	M	17.92	50.8		1	1	1	2	1	1	2	2	1	2	1	1
Border Collie 7	Border Collie	M	17.92	50.8		1	1	1	2	1	1	2	2	1	2	1	1
Border Collie 8	Border Collie	F	17.92	50.8		1	1	1	2	1	1	2	2	1	2	1	1
Border Collie 9	Border Collie	F	17.92	50.8		1	1	1	2	1	1	2	2	1	2	1	1
Border Terrier 1	Border Terrier	M	6.12	25.4	13.5	1	2	1	1	1	1		1	1	2	2	1
Border Terrier 2	Border Terrier	F	6.12	25.4	13.5	1	2	1	1	1	1		1	1	2	2	1
Border Terrier 3	Border Terrier	F	6.12	25.4	13.5	1	2	1	1	1	1		1	1	2	2	1
Border Terrier 4	Border Terrier	M	6.12	25.4	13.5	1	2	1	1	1	1		1	1	2	2	1
Borzoi	Borzoi	F	37.42	68.58	8.5			1		1	1	2	2	1	2	1	
Boston Terrier	Boston Terrier	F	7.94	40.64	14	1	1			1	2	2	2	1	1	1	
Bouvier des Flandres 1	Bouvier des Flandres	F	31	62	11						1	1	1	1	2	2	
Bouvier des Flandres 2	Bouvier des Flandres	M	31	62	11						1	1	1	1	2	2	
Bouvier des Flandres 3	Bouvier des Flandres	M	31	62	11						1	1	1	1	2	2	
Boxer	Boxer	F	28.35	59.055	11		2	1	2.7	1	2	2	2	1	1	1	1
Brittany	Brittany	M	15.88	48.26	14.5	1	2	2	1	1	1	2	2	1		1	
Bull Terrier 1	Bull Terrier	F			12.5		1	1	1	1	2	2	2	1	1	1	
Bull Terrier 2	Bull Terrier	F			12.5		1	1	1	1	2	2	2	1	1	1	
Bull Terrier 3	Bull Terrier	M			12.5		1	1	1	1	2	2	2	1	1	1	
Bull Terrier 4	Bull Terrier	M			12.5		1	1	1	1	2	2	2	1	1	1	
Bull Terrier 5	Bull Terrier	M			12.5		1	1	1	1	2	2	2	1	1	1	
Bull Terrier 6	Bull Terrier	M			12.5		1	1	1	1	2	2	2	1	1	1	
Bull Terrier 7	Bull Terrier	F			12.5		1	1	1	1	2	2	2	1	1	1	
Bull Terrier 8	Bull Terrier	M			12.5		1	1	1	1	2	2	2	1	1	1	
Bull Terrier 9	Bull Terrier	M			12.5		1	1	1	1	2	2	2	1	1	1	
Bulldog	Bulldog	M	25.81	35.56	9	1		1		1	2	2	2	1	1	1	2
Bullmastiff	Bullmastiff	F	52.16	64.77	9		2	1	1	2	2	1	1	1	1	1	
Cairn Terrier	Cairn Terrier	M	6.12	24.765	13.5		1	1	1	1	1		1	1	1	2	
Cane Corso	Cane Corso	F	44.91	64.77	11					2	2	2	1	1	1	1	
Carolina Dog	Carolina Dog	F															
Caucasian Ovcharka	Caucasian Ovcharka	F	47.4	71.12	11					2	2	2		1	2	1	
Cavalier King Charles Spaniel 1	Cavalier King Charles Spaniel	F	7.03	31.75	10	1	2	2	2	1	1	2	2	1	2	1	2
Cavalier King Charles Spaniel 2	Cavalier King Charles Spaniel	F	7.03	31.75	10	1	2	2	2	1	1	2	2	1	2	1	2
Chesapeake Bay Retriever	Chesapeake Bay Retriever	F	30.62	61	11.5		2	1	1	1	1			1		1	
Chihuahua 1	Chihuahua	M	1.81	19.05			1	1	2	1	1	2		1	1	1	
Chihuahua 2	Chihuahua	F	1.81	19.05			1	1	2	1	1	2		1	1	1	
Chihuahua 3	Chihuahua	M	1.81	19.05			1	1	2	1	1	2		1	1	1	
Chinese Crested 1	Chinese Crested	M	3.4	30.48	14	1	1	1		1	1		2	2		1	
Chinese Crested 2	Chinese Crested	M	3.4	30.48	14	1	1	1		1	1		2	2		1	
Chinese Shar-Pei 1	Chinese Shar-Pei	M	23.81	48.26	10			1	2	1	2	1	1	1	1	1	
Chinese Shar-Pei 2	Chinese Shar-Pei	M	23.81	48.26	10			1	2	1	2	1	1	1	1	1	
Chinook	Chinook	M	33	58.5						1	1	2		1	1	1	
Chongqing Dog	Chongqing Dog	F															
Chow Chow 1	Chow Chow	M	26.08	46.99			1	1		1	2		1	1		1	
Chow Chow 2	Chow Chow	F	26.08	46.99			1	1		1	2		1	1		1	
Chow Chow 3	Chow Chow	F	26.08	46.99			1	1		1	2		1	1		1	
Chow Chow 4	Chow Chow	M	26.08	46.99			1	1		1	2		1	1		1	
Clumber Spaniel	Clumber Spaniel	F	31.75	46.99	11	1	2	2		1	1	2	2	1	2	1	
American Cocker Spaniel 1	Cocker Spaniel (American)	M	10.21	36.83	14.5	1	2	2	1	1	1			1	2	1	
American Cocker Spaniel 2	Cocker Spaniel (American)	F	10.21	36.83	14.5	1	2	2	1	1	1			1	2	1	
American Cocker Spaniel 3	Cocker Spaniel (American)	M	10.21	36.83	14.5	1	2	2	1	1	1			1	2	1	
American Cocker Spaniel 4	Cocker Spaniel (American)	M	10.21	36.83	14.5	1	2	2	1	1	1			1	2	1	
American Cocker Spaniel 5	Cocker Spaniel (American)	F	10.21	36.83	14.5	1	2	2	1	1	1			1	2	1	
American Cocker Spaniel 6	Cocker Spaniel (American)	F	10.21	36.83	14.5	1	2	2	1	1	1			1	2	1	
Curly Coated Retreiver	Curly-Coated Retriever	M	32	66.5	12		2		1	1	1	1	1	1	1	1	
Dachshund 1	Dachshund	F			15.5		2		1	1	1	1	1	1			
Dachshund 2	Dachshund	M			15.5		2		1	1	1	1	1	1			
Dachshund 3	Dachshund	M			15.5		2		1	1	1	1	1	1			
Dachshund 4	Dachshund	M			15.5		2		1	1	1	1	1	1			
Dachshund 5	Dachshund	M			15.5		2		1	1	1	1	1	1			
Dalmatian 1	Dalmatian	F	26.08	59	11.5		2	1	1	1	1		2	1	1	1	1
Dalmatian 2	Dalmatian	M	26.08	59	11.5		2	1	1	1	1		2	1	1	1	1
Doberman Pinscher 1	Doberman Pinscher	M	34.93	66.04	11.5				1	1		1	1	1	1	1	
Doberman Pinscher 2	Doberman Pinscher	F	34.93	66.04	11.5				1	1		1	1	1	1	1	
Doberman Pinscher 3	Doberman Pinscher	F	34.93	66.04	11.5				1	1		1	1	1	1	1	
